ID_TRC,PROPRIETAIRE_REF,CODE_ARR,FORME,RUELLE_ID,DATE_AMENAGEMENT,DATE_BONIFICATION,CIRCULATION,TYPE_AMENAGEMENT,TYPE_RECOUVREMENT,SUPERFICIE_RUELLE_M2,SUPERFICIE_VERDISSEMENT_M2,NUMERO_DE_RESOLUTION,DATE_MAJ
405213,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1400001",2015-07-01,2019-07-01,"Partiellement fermée","Mobilier et marquage au sol","Asphalté ou bétonnée",101.795,,,2022-10-11
406582,"Sud-Ouest","SO","T","SO-T-1004020",2020-07-01,,"Fermée","Plates-bandes et mobilier","Végétalisée",1278.445,"165",,2020-12-18
402210,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000060",2014-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",110.705,,,2019-11-26
402211,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000066",2015-07-01,2020-10-28,"Partiellement fermée","Plates-bandes et mobilier","Mixte",110.78,"16",,2020-11-30
402885,"Rosemont - La Petite-Patrie","RPP","T","RPP-T-1000091",2016-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",713.737,,,2019-11-27
402886,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000060",2014-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",714.339,,,2019-11-26
402440,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000029",2012-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",155.242,,,2019-12-06
402441,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000104",2018-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",155.38,,,2019-11-29
405218,"Villeray - St-Michel - Parc-Extension","VSMPE","T","VSMPE-T-1100035",2022-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",102.895,"1.25",,2022-10-12
405219,"Villeray - St-Michel - Parc-Extension","VSMPE","H","VSMPE-H-1400001",2015-07-01,2019-07-01,"Ouverte","Mobilier et marquage au sol","Asphalté ou bétonnée",102.939,,,2022-10-11
402957,"Rosemont - La Petite-Patrie","RPP","H","RPP-H-1000110",2018-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",740.731,,,2019-11-29
402960,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000036",2013-07-01,,"Ouverte","Mobilier","Asphalté ou bétonnée",742.509,,,2019-12-02
406091,"Rosemont - La Petite-Patrie","RPP","F","RPP-F-1000092",2016-07-01,,"Ouverte","Plates-bandes et mobilier","Asphalté ou bétonnée",1397.269,,,2019-11-28
406093,"Rosemont - La Petite-Patrie","RPP","I","RPP-I-1000010",2011-07-01,,"Ouverte","Plates-bandes et mobilier","Pavé alvéolé",1435.263,,,2019-11-29
