Numero_accession,Categorie_objet,Sous_categorie_objet,Nom_objet,Type_objet,Autres_noms_objet,Artiste_artisan,Autre_artiste_artisan,Titre,Variante_titre,Fabricant,Pays_fabricant,Province_fabricant,Ville_fabricant,Date_debut_production,Date_fin_production,Periode,Materiaux,Medium,Support,Technique_fabrication,Sujet_image,Continent_origine,Pays_origine,Province_origine,Ville_origine,Ecole_style,Culture,Secteur_geo_culturel,Territoire_ancestral_correspondant,Mode_acquisition,Date_accession
2005.5.3.17,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,La Maison de Luzina,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",paysage,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.18,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,Le Moine,,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",portrait; paysage,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.5.3.19,Beaux-Arts,Estampe,estampe,,,"Lemieux, Jean-Paul",,La Fête,de la série La petite poule d'eau,,,,,,1971,XXe siècle,,encre,papier,"imprimé, photolithographie",scène de genre,Amérique du Nord,Canada,Québec,Québec,art contemporain,"nord-américain, québécois",,,don,2005-12-02
2005.6,Beaux-Arts,Dessin,dessin,esquisse,,"Roussil, Robert",,Non titré,,,,,,,1987,XXe siècle,,crayon graphite,papier,dessiné,objet,Amérique du Nord,Canada,,,art contemporain,"nord-américain, canadien",,,don,2005
2005.7,Beaux-Arts,Peinture,peinture,murale,,"Tremblay, Richard-Max",,Non titré,,,,,,,1975,XXe siècle,,acrylique,toile,peint,abstraction,Amérique du Nord,Canada,Québec,Sherbrooke,art contemporain,"nord-américain, québécois",Cantons-de-l'Est,,don,2005-12-13
2005.8,Beaux-Arts,Estampe,album,,,"Drummond, William Henry","Coburn, Frederick Simpson",Johnnie Courteau,,G.P. Putnam's Sons,"Royaume-Uni, Angleterre",,Londres,,1901,XXe siècle,cuir; papier,,,imprimé; relié,scène de genre,Europe,"Royaume-Uni, Irlande",Connacht,Mohill,,"nord-américain, canadien",,,don,2005-10-24
2005.10.1,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Le Pacifiste,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; animal,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.1-10,Beaux-Arts,Estampe,album,,,"Pellan, Alfred","Péloquin, Claude",Les Pères Noël,,La Guilde Graphique,Canada,Québec,Montréal,,1974,XXe siècle,,,carton,,,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.2,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Le Ramoneur,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.3,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,L'acrobate,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.4,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Sur Fusée,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.5,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,L'équilibriste A,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.6,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,L'équilibriste B,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.7,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,La Lune,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.8,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Le peintre,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.9,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Le voyage,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.10,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Le rêve,,La Guilde Graphique,Canada,Québec,Montréal,1962,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.11,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Andante,,La Guilde Graphique,Canada,Québec,Montréal,,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain; surréalisme,"nord-américain, québécois",,,don,2005-11-17
2005.10.12,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Appartement chez Olivia A,,La Guilde Graphique,Canada,Québec,Montréal,,1973,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; corps; objet,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.13,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Au bord de la mer B,,La Guilde Graphique,Canada,Québec,Montréal,,1975,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; paysage,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.14,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Bambin,,La Guilde Graphique,Canada,Québec,Montréal,,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; portrait,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.15,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Baroquerie,,La Guilde Graphique,Canada,Québec,Montréal,,1975,XXe siècle,,encre,papier,"imprimé, sérigraphie",abstraction,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.16,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Bestiaire,,La Guilde Graphique,Canada,Québec,Montréal,,1973,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; animal,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.17,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Bestiaire 2,,La Guilde Graphique,Canada,Québec,Montréal,,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; animal; portrait,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
2005.10.18,Beaux-Arts,Estampe,estampe,,,"Pellan, Alfred",,Bestiaire 4,,La Guilde Graphique,Canada,Québec,Montréal,,1974,XXe siècle,,encre,papier,"imprimé, sérigraphie",semi-abstraction; animal,Amérique du Nord,Canada,Québec,Laval,art contemporain,"nord-américain, québécois",,,don,2005-11-17
